year,country,crisisJST,yhat_base_insample,yhat_base_outsample,yhat_baseline_insample,yhat_baseline_outsample,yhat_baselineInsample,yhat_baselineOutsample,yhat_baselineIn_cred,yhat_baselineOut_cred
2001,Spain,0,.053966824,.017101882,.053966824,.017101882,.053966824,.017101882,.053966824,.017101882
2002,Spain,0,.049813695,.020241845,.049813695,.020241845,.049813695,.020241845,.049813695,.020241845
2003,Spain,0,.036505152,.015432063,.036505152,.015432063,.036505152,.015432063,.036505152,.015432063
2004,Spain,0,.038007777,.016778648,.038007777,.016778648,.038007777,.016778648,.038007777,.016778648
2005,Spain,0,.033997811,.014586258,.033997811,.014586258,.033997811,.014586258,.033997811,.014586258
2006,Spain,0,.038303774,.013711537,.038303774,.013711537,.038303774,.013711537,.038303774,.013711537
2007,Spain,0,.046090879,.015642103,.046090879,.015642103,.046090879,.015642103,.046090879,.015642103
2008,Spain,1,.050456874,.016467759,.050456874,.016467759,.050456874,.016467759,.050456874,.016467759
2009,Spain,0,.073181093,.028070686,.073181093,.028070686,.073181093,.028070686,.073181093,.028070686
2010,Spain,0,,,,,,,,
2011,Spain,0,,,,,,,,
2012,Spain,0,,,,,,,,
2013,Spain,0,,,,,,,,
2014,Spain,0,,,,,,,,
2015,Spain,0,,,,,,,,
2016,Spain,0,,,,,,,,
2017,Spain,0,,,,,,,,
1985,Australia,0,,,,,,,,
1986,Australia,0,,,,,,,,
1987,Australia,0,,,,,,,,
1988,Australia,0,.070769951,.030665446,.070769951,.030665446,.070769951,.030665446,.070769951,.030665446
1989,Australia,1,.033576615,.023878107,.033576615,.023878107,.033576615,.023878107,.033576615,.023878107
1990,Australia,0,.030670809,.021918315,.030670809,.021918315,.030670809,.021918315,.030670809,.021918315
1991,Australia,0,.070887148,.038784869,.070887148,.038784869,.070887148,.038784869,.070887148,.038784869
1992,Australia,0,.056498189,.02841486,.056498189,.02841486,.056498189,.02841486,.056498189,.02841486
1993,Australia,0,.051521637,.040138446,.051521637,.040138446,.051521637,.040138446,.051521637,.040138446
1994,Australia,0,.021484422,.021146119,.021484422,.021146119,.021484422,.021146119,.021484422,.021146119
1995,Australia,0,.03226975,.025504252,.03226975,.025504252,.03226975,.025504252,.03226975,.025504252
1996,Australia,0,.045755625,.028936703,.045755625,.028936703,.045755625,.028936703,.045755625,.028936703
1997,Australia,0,.052200418,.026083654,.052200418,.026083654,.052200418,.026083654,.052200418,.026083654
1998,Australia,0,.04447021,.026577555,.04447021,.026577555,.04447021,.026577555,.04447021,.026577555
1999,Australia,0,.040661763,.027232997,.040661763,.027232997,.040661763,.027232997,.040661763,.027232997
2000,Australia,0,.040465266,.02341067,.040465266,.02341067,.040465266,.02341067,.040465266,.02341067
2001,Australia,0,.055678479,.033397254,.055678479,.033397254,.055678479,.033397254,.055678479,.033397254
2002,Australia,0,.039833181,.024792582,.039833181,.024792582,.039833181,.024792582,.039833181,.024792582
2003,Australia,0,.034767691,.022618469,.034767691,.022618469,.034767691,.022618469,.034767691,.022618469
2004,Australia,0,.035783447,.023752658,.035783447,.023752658,.035783447,.023752658,.035783447,.023752658
2005,Australia,0,.048212137,.024798574,.048212137,.024798574,.048212137,.024798574,.048212137,.024798574
2006,Australia,0,.052108135,.025213264,.052108135,.025213264,.052108135,.025213264,.052108135,.025213264
2007,Australia,0,.044746283,.025621092,.044746283,.025621092,.044746283,.025621092,.044746283,.025621092
2008,Australia,0,.034014285,.020083454,.034014285,.020083454,.034014285,.020083454,.034014285,.020083454
2009,Australia,0,.048995562,.028129954,.048995562,.028129954,.048995562,.028129954,.048995562,.028129954
2010,Australia,0,.048196334,.025825994,.048196334,.025825994,.048196334,.025825994,.048196334,.025825994
2011,Australia,0,.078424588,.050675705,.078424588,.050675705,.078424588,.050675705,.078424588,.050675705
2012,Australia,0,.021240335,.017117349,.021240335,.017117349,.021240335,.017117349,.021240335,.017117349
2013,Australia,0,.031400234,.031999942,.031400234,.031999942,.031400234,.031999942,.031400234,.031999942
2014,Australia,0,.023936667,.018306021,.023936667,.018306021,.023936667,.018306021,.023936667,.018306021
2015,Australia,0,.058365241,.026910378,.058365241,.026910378,.058365241,.026910378,.058365241,.026910378
2016,Australia,0,.039320465,.019564014,.039320465,.019564014,.039320465,.019564014,.039320465,.019564014
2017,Australia,0,.061139081,.031897083,.061139081,.031897083,.061139081,.031897083,.061139081,.031897083
